tournament_id	capture_key	name	class	queue_priority	basis
35754	SS-35754	CCAA Championship	student	0	G1:1 студенческие
35765	SS-35765	Coupe La Presse De Limonade	core	1	G1:CORE взрослые мужские
35769	SS-35769	Sierra Leone FA Cup	core	1	G1:CORE взрослые мужские
35843	SS-35843	Pinnacle Football League, Unilorin	core	1	G1:CORE взрослые мужские
35861	SS-35861	Swep League Funaab	core	1	G1:CORE взрослые мужские
35864	SS-35864	Shandong Provincial Club Championship	core	1	G1:CORE взрослые мужские
35879	SS-35879	Renato Miceli Memorial Tournament	core	1	G1:CORE взрослые мужские
35880	SS-35880	Taça da Liga	core	1	G1:CORE взрослые мужские
35884	SS-35884	The Arena	core	1	G1:CORE взрослые мужские
35891	SS-35891	Futo Seset Dean's Cup	core	1	G1:CORE взрослые мужские
35893	SS-35893	Cupa României	core	1	G1:CORE взрослые мужские
35899	SS-35899	Dhaka Second Division Football League	core	1	G1:CORE взрослые мужские
35912	SS-35912	Supertaça de Cabo Verde	core	1	G1:CORE взрослые мужские
35944	SS-35944	Toyin Amuzu Football Competition	core	1	G1:CORE взрослые мужские
35955	SS-35955	PFL	core	1	G1:CORE взрослые мужские
35963	SS-35963	The Light Innovative Football League	core	1	G1:CORE взрослые мужские
36010	SS-36010	Campos Blazers League	core	1	G1:CORE взрослые мужские
36021	SS-36021	Champions FBC	core	1	G1:CORE взрослые мужские
36031	SS-36031	NCAA III, Men	student	0	G1:1 студенческие
36034	SS-36034	Ligue des Champions D2 Nationale	core	1	G1:CORE взрослые мужские
36042	SS-36042	Coupe du Cameroun	core	1	G1:CORE взрослые мужские
36051	SS-36051	BAREM	core	1	G1:CORE взрослые мужские
36066	SS-36066	Supercopa de Honduras	core	1	G1:CORE взрослые мужские
36090	SS-36090	FAI National League	core	1	G1:CORE взрослые мужские
36100	SS-36100	CUMSA Games Football Cup	core	1	G1:CORE взрослые мужские
36119	SS-36119	Northeast Region City Football League	core	1	G1:CORE взрослые мужские
36120	SS-36120	Rahvaliiga C	core	1	G1:CORE взрослые мужские
36168	SS-36168	Military and Para-Military Cup	student	0	G1:1 студенческие
36176	SS-36176	AJSL	core	1	G1:CORE взрослые мужские
36185	SS-36185	National 2	core	1	G1:CORE взрослые мужские
36197	SS-36197	Kensington Pro League	core	1	G1:CORE взрослые мужские
36198	SS-36198	Wertheimer Stadtmeisterschaft	core	1	G1:CORE взрослые мужские
36201	SS-36201	Gemeinde Cup Ubstadt-Weiher	core	1	G1:CORE взрослые мужские
36209	SS-36209	BVIFA President's Cup	core	1	G1:CORE взрослые мужские
36226	SS-36226	FKF Nairobi East County League	amateur	9	G1:2 региональные/любительские
36275	SS-36275	Campeonato Defeso de Bairro de São-Paulo Camada Jr	reserve	9	G1:6 молодёжь/резерв
36290	SS-36290	MiraBèl	core	1	G1:CORE взрослые мужские
36318	SS-36318	Mundialito Gonaives	core	1	G1:CORE взрослые мужские
36323	SS-36323	Campeonato de Maio	core	1	G1:CORE взрослые мужские
36335	SS-36335	Chanpyona ADF e HCDF	core	1	G1:CORE взрослые мужские
36346	SS-36346	Coupe Sacré Cœur	core	1	G1:CORE взрослые мужские
36383	SS-36383	Campeonato Regional da Brava	amateur	9	G1:2 региональные/любительские
36430	SS-36430	Championnat Sherly Jeude	core	1	G1:CORE взрослые мужские
36437	SS-36437	Interzone Du Nord Ouest	core	1	G1:CORE взрослые мужские
36438	SS-36438	Somali  Second League	core	1	G1:CORE взрослые мужские
36439	SS-36439	Liga A2	core	1	G1:CORE взрослые мужские
36469	SS-36469	Dhaka Interschool Champions League	student	0	G1:1 студенческие
36470	SS-36470	Como Cup	core	1	G1:CORE взрослые мужские
36474	SS-36474	Inter-Bairros de Bissau	core	1	G1:CORE взрослые мужские
36491	SS-36491	Bermuda First Division	core	1	G1:CORE взрослые мужские
36495	SS-36495	Coupe Francisque	core	1	G1:CORE взрослые мужские
36498	SS-36498	Sri Lanka Champions League	core	1	G1:CORE взрослые мужские
36516	SS-36516	ESCFE 1st Division	core	1	G1:CORE взрослые мужские
36543	SS-36543	Macao FA Cup	core	1	G1:CORE взрослые мужские
36551	SS-36551	Elite League Cup	core	1	G1:CORE взрослые мужские
36559	SS-36559	Playball Africa	core	1	G1:CORE взрослые мужские
36566	SS-36566	Ligue Football De Port-De-Paix	core	1	G1:CORE взрослые мужские
36573	SS-36573	Torneio de Verão Póvoa de Varzim	core	1	G1:CORE взрослые мужские
36578	SS-36578	Liga Semi Veteren	core	1	G1:CORE взрослые мужские
36580	SS-36580	Maracana AMS	core	1	G1:CORE взрослые мужские
36581	SS-36581	Campo Armada	core	1	G1:CORE взрослые мужские
36584	SS-36584	OPL Pro/Rel Playoffs (W) 2026	women	9	G1:W женские/смешанные
36586	SS-36586	Ontario Premier League 3 (W) Playoffs 2026	women	9	G1:W женские/смешанные
36588	SS-36588	Copa dos Campeões Superliga	core	1	G1:CORE взрослые мужские
36589	SS-36589	Marihano Super Challenge Cup	core	1	G1:CORE взрослые мужские
36590	SS-36590	Team Profiter	core	1	G1:CORE взрослые мужские
36591	SS-36591	CTF	core	1	G1:CORE взрослые мужские
36593	SS-36593	Coupe Sainte-Claire	core	1	G1:CORE взрослые мужские
36594	SS-36594	Negeri Sembilan Premier League	core	1	G1:CORE взрослые мужские
36597	SS-36597	Torneo San Antonio	core	1	G1:CORE взрослые мужские
