id	name	country	confederation	tier	class	route	live	current_saison_id	step2_saison_ids	fotmob_id	sofascore_id	fbref_id	reason
AND1	Primera Divisió	Andorra	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024		742		rule:default
ARCA	Copa Argentina	Argentina	Americas	cup	core_club	pokal	1	2025		9305	1024		rule:default
ARCP	FIFA Arab Cup	International	AFC	international	core_national	pokal	1	2024		10242			rule:national team (review C9-F4, registry says club cup)
ARG1	Torneo Apertura	Argentina	Americas	1	core_club	wettbewerb	1	2025					rule:default
ARG2	Primera Nacional	Argentina	Americas	2	core_club	wettbewerb	1	2025	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023		703		rule:default
ARG3	Torneo Federal A	Argentina	Americas	3	core_club	wettbewerb	1	2025	2018,2019,2020,2021,2022,2023		14090		rule:default
ARGC	Torneo Clausura	Argentina	Americas	1	core_club	wettbewerb	1	2025					rule:default
ARLS	Regionalliga Süd	Austria	UEFA	3	core_club	wettbewerb	1	2026					rule:default
ARM1	Premier League	Armenia	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024	118			rule:default
ARM2	Armenian First League	Armenia	UEFA	2	core_club	wettbewerb	1	2026	2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
ASCC	ASEAN Club Championship	International	AFC	international	core_club	pokal	1	2026		11012	28308		rule:default
ASCP	AFC Solidarity Cup	International	AFC	international	archive	pokal	0	2015	2015				rule:national team (review C9-F4, registry says club cup); archive: current edition 2016 is not live
ASCQ	ASEAN Club Championship Qualifying	International	AFC	international	core_club	pokal	1	2026					rule:default
ATRO	Regional League East	Austria	UEFA	3	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
AU2C	AFC U20 Asian Cup qualification	International	AFC	international	youth	pokal	1	2026					rule:youth
AUS1	A-League Men	Australia	AFC	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024		136		rule:default
AZ1	Premyer Liqa	Azerbaijan	UEFA	1	core_club	wettbewerb	1	2026	2015,2016,2017,2018,2019,2020,2021,2022,2023,2024				rule:default
BBPO	Landespokal Brandenburg	Germany	UEFA	cup	amateur	pokal	1	2026					rule:German state cup
BCE2	Campeonato Cearense - Relegation Round	Brazil	Americas	regional	core_club	wettbewerb	1	2025	2014,2015,2022,2023				rule:Brazilian state championship
BCP1	Campeonato Paulista	Brazil	Americas	regional	core_club	wettbewerb	1	2025	2014,2015,2016,2017,2018,2019,2020,2021,2022,2023				rule:Brazilian state championship
